Run	BioSample	Name	Breed	Category	bases	size_MB	LibraryLayout	Platform	Model
ERR170575	SAMEA1521940	Village Dog - Aboriginal Camp Dog	Village Dog - Aboriginal Camp Dog	village	21677152400	10088	PAIRED	ILLUMINA	Illumina HiSeq 2000
ERR175558	SAMEA1521940	Village Dog - Aboriginal Camp Dog	Village Dog - Aboriginal Camp Dog	village	36622125400	17970	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR776307	SAMN01974489	Grey Wolf 4	Grey Wolf	wild	5870057336	4301	PAIRED	ILLUMINA	Illumina Genome Analyzer IIx
SRR776429	SAMN01974489	Grey Wolf 4	Grey Wolf	wild	1775375272	1253	PAIRED	ILLUMINA	Illumina Genome Analyzer IIx
SRR776430	SAMN01974489	Grey Wolf 4	Grey Wolf	wild	3546965136	2516	PAIRED	ILLUMINA	Illumina Genome Analyzer IIx
SRR776431	SAMN01974489	Grey Wolf 4	Grey Wolf	wild	950284544	699	PAIRED	ILLUMINA	Illumina Genome Analyzer IIx
SRR776432	SAMN01974489	Grey Wolf 4	Grey Wolf	wild	3966497700	2818	PAIRED	ILLUMINA	Illumina Genome Analyzer IIx
SRR776433	SAMN01974489	Grey Wolf 4	Grey Wolf	wild	2260540350	1631	PAIRED	ILLUMINA	Illumina Genome Analyzer IIx
SRR776434	SAMN01974489	Grey Wolf 4	Grey Wolf	wild	5254438800	3812	PAIRED	ILLUMINA	Illumina Genome Analyzer IIx
SRR776435	SAMN01974489	Grey Wolf 4	Grey Wolf	wild	3476114224	2388	PAIRED	ILLUMINA	Illumina Genome Analyzer IIx
SRR780873	SAMN01974486	Grey Wolf 1	Grey Wolf	wild	8465320650	5183	PAIRED	ILLUMINA	Illumina Genome Analyzer IIx
SRR780874	SAMN01974486	Grey Wolf 1	Grey Wolf	wild	481863210	203	PAIRED	ILLUMINA	Illumina Genome Analyzer IIx
SRR780932	SAMN01974486	Grey Wolf 1	Grey Wolf	wild	4961728548	2887	PAIRED	ILLUMINA	Illumina Genome Analyzer IIx
SRR780933	SAMN01974486	Grey Wolf 1	Grey Wolf	wild	21899054160	13171	PAIRED	ILLUMINA	Illumina Genome Analyzer IIx
SRR781456	SAMN01974487	Grey Wolf 2	Grey Wolf	wild	2384672052	1305	PAIRED	ILLUMINA	Illumina Genome Analyzer IIx
SRR781457	SAMN01974487	Grey Wolf 2	Grey Wolf	wild	2137680402	1226	PAIRED	ILLUMINA	Illumina Genome Analyzer IIx
SRR781524	SAMN01974487	Grey Wolf 2	Grey Wolf	wild	22779140160	13320	PAIRED	ILLUMINA	Illumina Genome Analyzer IIx
SRR781639	SAMN01974488	Grey Wolf 3	Grey Wolf	wild	22049479276	11488	PAIRED	ILLUMINA	Illumina Genome Analyzer IIx
SRR781706	SAMN01974488	Grey Wolf 3	Grey Wolf	wild	21853557456	13029	PAIRED	ILLUMINA	Illumina Genome Analyzer IIx
SRR781830	SAMN01974490	Village Dog - China 2	Village Dog - China	village	23492580608	13797	PAIRED	ILLUMINA	Illumina Genome Analyzer IIx
SRR781888	SAMN01974490	Village Dog - China 2	Village Dog - China	village	19964081978	11836	PAIRED	ILLUMINA	Illumina Genome Analyzer IIx
SRR781955	SAMN01974490	Village Dog - China 2	Village Dog - China	village	7176721246	4251	PAIRED	ILLUMINA	Illumina Genome Analyzer IIx
SRR782079	SAMN01974491	Village Dog - China 3	Village Dog - China	village	58301518050	31586	PAIRED	ILLUMINA	Illumina Genome Analyzer IIx
SRR782080	SAMN01974492	Village Dog - China 4	Village Dog - China	village	31007163066	18749	PAIRED	ILLUMINA	Illumina Genome Analyzer IIx
SRR1061732	SAMN02485568	Village Dog - China 5	Village Dog - China	village	13826830680	8059	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1061733	SAMN02485568	Village Dog - China 5	Village Dog - China	village	5820055400	3492	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1061734	SAMN02485569	Village Dog - China 6	Village Dog - China	village	14864602860	8757	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1061735	SAMN02485569	Village Dog - China 6	Village Dog - China	village	6315095200	3738	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1061736	SAMN02485570	Village Dog - China 7	Village Dog - China	village	14179718520	8368	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1061737	SAMN02485570	Village Dog - China 7	Village Dog - China	village	6572111800	3912	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1061738	SAMN02485571	Village Dog - China 8	Village Dog - China	village	13864715640	8149	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1061739	SAMN02485571	Village Dog - China 8	Village Dog - China	village	5859863600	3427	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1061740	SAMN02485572	Village Dog - China 42	Village Dog - China	village	14531371920	8647	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1061741	SAMN02485572	Village Dog - China 42	Village Dog - China	village	6525256200	3888	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1061746	SAMN02485575	Village Dog - China 41	Village Dog - China	village	13423950720	7628	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1061747	SAMN02485575	Village Dog - China 41	Village Dog - China	village	5733192400	3411	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1061748	SAMN02485576	Village Dog - China 9	Village Dog - China	village	14835760200	8525	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1061753	SAMN02485576	Village Dog - China 9	Village Dog - China	village	6121061400	3604	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1061804	SAMN02485581	Village Dog - China 1	Village Dog - China	village	13334851800	7367	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1061808	SAMN02485581	Village Dog - China 1	Village Dog - China	village	6870977000	4104	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1061818	SAMN02485582	Village Dog - Egypt 1	Village Dog - Egypt	village	21086998766	12957	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1061841	SAMN02485583	Village Dog - Egypt 2	Village Dog - Egypt	village	18276268554	10517	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1061860	SAMN02485586	Village Dog - India 1	Village Dog - India	village	14974728798	9138	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1061861	SAMN02485586	Village Dog - India 1	Village Dog - India	village	19311710656	11318	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1061958	SAMN02485587	Village Dog - India 2	Village Dog - India	village	18890725082	11151	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1061959	SAMN02485588	Village Dog - India 3	Village Dog - India	village	12671271736	7331	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1061960	SAMN02485588	Village Dog - India 3	Village Dog - India	village	14207330236	8021	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1061962	SAMN02485590	Village Dog - India 4	Village Dog - India	village	18364759300	10629	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1061963	SAMN02485590	Village Dog - India 4	Village Dog - India	village	16919499821	10429	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1061964	SAMN02485591	Village Dog - India 5	Village Dog - India	village	19850799570	11298	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1061965	SAMN02485592	Village Dog - Borneo 1	Village Dog - Borneo	village	17784127268	10748	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1061966	SAMN02485593	Village Dog - Borneo 2	Village Dog - Borneo	village	20972522134	13060	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1061967	SAMN02485594	Village Dog - Borneo 3	Village Dog - Borneo	village	14895439600	8534	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1061968	SAMN02485595	Village Dog - Lebanon 1	Village Dog - Lebanon	village	21554930958	13246	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1061969	SAMN02485596	Village Dog - Lebanon 2	Village Dog - Lebanon	village	22739513700	14202	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1061970	SAMN02485597	Village Dog - Lebanon 3	Village Dog - Lebanon	village	23642357346	15484	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1061971	SAMN02485598	Village Dog - Namibia 1	Village Dog - Namibia	village	20352940664	12164	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1061972	SAMN02485599	Village Dog - Namibia 2	Village Dog - Namibia	village	19271611973	12140	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1061973	SAMN02485599	Village Dog - Namibia 2	Village Dog - Namibia	village	16446310962	9246	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1061974	SAMN02485600	Village Dog - Namibia 3	Village Dog - Namibia	village	2896369526	1532	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1061975	SAMN02485600	Village Dog - Namibia 3	Village Dog - Namibia	village	4787514938	2852	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1061976	SAMN02485600	Village Dog - Namibia 3	Village Dog - Namibia	village	10443040036	5462	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1061977	SAMN02485601	Village Dog - Papua New Guinea 1	Village Dog - Papua New Guinea	village	20730365948	11553	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1061978	SAMN02485602	Village Dog - Papua New Guinea 2	Village Dog - Papua New Guinea	village	6525040764	3541	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1061979	SAMN02485602	Village Dog - Papua New Guinea 2	Village Dog - Papua New Guinea	village	5756394606	2878	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1061980	SAMN02485602	Village Dog - Papua New Guinea 2	Village Dog - Papua New Guinea	village	3311945389	1900	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1061981	SAMN02485603	Village Dog - Papua New Guinea 3	Village Dog - Papua New Guinea	village	15259384920	9736	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1061982	SAMN02485603	Village Dog - Papua New Guinea 3	Village Dog - Papua New Guinea	village	21999649512	12661	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1061983	SAMN02485604	Village Dog - Portugal 2	Village Dog - Portugal	village	23165144264	14233	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1061984	SAMN02485604	Village Dog - Portugal 2	Village Dog - Portugal	village	20515529858	11670	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1061985	SAMN02485605	Village Dog - Portugal 3	Village Dog - Portugal	village	14975922325	9119	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1061986	SAMN02485605	Village Dog - Portugal 3	Village Dog - Portugal	village	21996776264	13343	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1062005	SAMN02485606	Village Dog - Qatar 1	Village Dog - Qatar	village	10133671582	5780	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1062006	SAMN02485606	Village Dog - Qatar 1	Village Dog - Qatar	village	22241790548	13495	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1062016	SAMN02485607	Village Dog - Qatar 2	Village Dog - Qatar	village	16172058188	10622	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1062024	SAMN02485608	Village Dog - Taiwan	Village Dog - Taiwan	village	19494915183	12016	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1062028	SAMN02485608	Village Dog - Taiwan	Village Dog - Taiwan	village	19711734286	11089	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1062042	SAMN02485609	Village Dog - Vietnam 1	Village Dog - Vietnam	village	25231208546	16205	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1062046	SAMN02485610	Village Dog - Vietnam 2	Village Dog - Vietnam	village	19546455516	12565	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1062054	SAMN02485611	Village Dog - Vietnam 3	Village Dog - Vietnam	village	13347787916	7734	PAIRED	ILLUMINA	Illumina HiSeq 2000
